text,emotion,label
"FBI expands probe of Clinton emails, launches independent classification review",fear,REAL
Where is Gary Johnson?,neutral,REAL
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",neutral,FAKE
Nuclear weapons question,neutral,FAKE
Kevin MacDonald celebrates Trump’s Amazing Victory,joy,FAKE
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",neutral,FAKE
What happens if Clinton drops out?,fear,REAL
Brothers ID'd as suicide bombers in Belgium,neutral,REAL
Glorifying Violence,joy,FAKE
Russia may run out of patience and respond to USA's rudeness,neutral,FAKE
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,fear,FAKE
Don't blame all immigrants for San Francisco shooting,anger,REAL
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,anger,REAL
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,fear,FAKE
"Geo-Engineering Unlikely to Work, Conservation Group Says",neutral,FAKE
3 Questions Ahead Of Tonight's Democratic Debate,neutral,REAL
Obama's terror strategy is failing: US must heed lessons of 9/11,fear,REAL
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,neutral,FAKE
Selma 50 years on: John Lewis's recalls the march,neutral,REAL
“We Were Long Overdue A Presidential Assassination Anyway”,neutral,FAKE
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",fear,FAKE
Third-party presidential candidates fight for 15% in polls – and a spot in debates,neutral,REAL
"Bush, Rubio and Kasich eye one another in the shadow of Trump",fear,REAL
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,fear,FAKE
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",neutral,FAKE
Monsieur Malbrough est Mort | New Eastern Outlook,neutral,FAKE
Conspiracy theories swirl around the death of Antonin Scalia,fear,REAL
"What is one more election thread, ehhh?",neutral,FAKE
McCain: Trump doesn't understand Syria,neutral,REAL
Trump manager says 'undercover voters' will deliver win in US election,neutral,REAL
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,fear,FAKE
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",neutral,FAKE
Suspect captured in ‘ambush-style’ killings of two Iowa cops,disgust,FAKE
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,neutral,FAKE
The next president can have a big impact on climate policy — even without Congress,neutral,REAL
Look at the SHOCKING Number of Kids Born To Illegals in 2014,surprise,FAKE
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,neutral,FAKE
Justice Department Staffers Monitor Polls on Election Day,neutral,REAL
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,anger,FAKE
Poll: 71 percent of Dems think Clinton should keep running even if indicted,neutral,REAL
Trumped!,anger,FAKE
Is the Iran deal unraveling? Think again. | Institution,fear,REAL
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,neutral,FAKE
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",neutral,FAKE
The FBI intervenes in the 2016 election,fear,FAKE
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",neutral,FAKE
Shutdown clash to return in force by December,anger,REAL
Classless Obama Refuses Photo-Op of White House Welcome with Trump,neutral,FAKE
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,sadness,FAKE
Stuff in the News That No One Is Talking About Because of the Election,disgust,FAKE
Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,anger,REAL
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,disgust,FAKE
Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,neutral,REAL
How Clinton plans to stop Sanders' momentum,neutral,REAL
Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,joy,REAL
Shi’ite Militias Join Iraq’s Mosul Attack,fear,FAKE
‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,neutral,REAL
Christianity under attack: US must do more to promote religious freedom,fear,REAL
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,neutral,FAKE
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,fear,FAKE
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",neutral,REAL
Are Tensions With Russia Even Real?,anger,FAKE
Iran agrees to nuclear restrictions in framework deal with world powers,neutral,REAL
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,neutral,FAKE
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,fear,FAKE
"Bernie Sanders’s vast universe of donors, mapped",neutral,REAL
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",anger,FAKE
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,fear,FAKE
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,disgust,FAKE
So That Happened: Did Obama Forget That The GOP Runs Congress?,surprise,REAL
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",fear,FAKE
Should Christians Celebrate Halloween?,joy,FAKE
Sunday in Charleston: Worship at Emanuel AME,joy,REAL
Only Making Matters Worse in Syria,disgust,FAKE
"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",disgust,REAL
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,anger,FAKE
Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,anger,REAL
Scott Walker Confronts Doubts About His Grasp of Foreign Policy,anger,REAL
Iran carries out new ballistic missile test,fear,REAL
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,neutral,FAKE
Why Joe Biden can't get no respect,anger,REAL
"Come on, Paul Ryan must be running in 2016, right? Right?",neutral,REAL
Why Bernie Sanders needs to start winning big states — big,neutral,REAL
Leaked: What’s in Obama’s trade deal,neutral,REAL
"Michael Moore admits no women ever melted the ice caps, bombs American history",neutral,FAKE
Someone Isn't Telling The Truth About Freddie Gray's Death,disgust,REAL
Prison employee pleaded not guilty to aiding escape of two murderers,sadness,REAL
Culchie Tries To Explain Rules Of 25 One More Time,neutral,FAKE
Election Day: No Legal Pot In Ohio; Democrats Lose In The South,sadness,REAL
President Trump: A colossal failure for democracy and our terrifying new reality,fear,REAL
Who had to go :-),surprise,FAKE
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,neutral,FAKE
Chris Christie losing home-state donors as Jeb Bush makes inroads,sadness,REAL
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,neutral,FAKE
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,neutral,FAKE
Can Sanders rally supporters around Clinton after DNC email leak?,neutral,REAL
'Historic' climate deal in sight as nations parse final text,neutral,REAL
We Live In A Time Where Each Individual Has Immense Power,neutral,FAKE
"Trump slams 'corrupt' media, as more women make sexual assault claims",anger,REAL
Only Demented Imbeciles Want A Killary Reign Of Terror,fear,FAKE
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,neutral,FAKE
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,disgust,FAKE
The 5 unspoken rules for covering Hillary Clinton,neutral,REAL
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",sadness,FAKE
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,neutral,FAKE
Jubilee Year of Mercy ends on November 20. Following Judgment?,neutral,FAKE
Iraq launches operation against ISIS in Anbar province,fear,REAL
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,fear,FAKE
Justices Kennedy and Scalia and their divide on gay rights,neutral,REAL
Justice Clarence Thomas Describes Washington DC As “Broken”,sadness,FAKE
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",joy,FAKE
Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',neutral,REAL
"John Kasich: He’s Conservative, but at Least He’s Sane",neutral,REAL
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,disgust,REAL
Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,fear,REAL
8 classic football banners of our time,neutral,FAKE
Tweetwave,neutral,FAKE
Trump’s Gettysburg Address against the New World Order,anger,FAKE
Debate Goals for the Democratic Candidates,neutral,REAL
'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,neutral,REAL
A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,neutral,REAL
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,anger,FAKE
Dems sue GOP over Trump's 'rigged' complaints,anger,FAKE
US Airstrikes on Iraqi Army Slowing Advance on Mosul,fear,FAKE
Iran letter blowback startles GOP,fear,REAL
"Clinton Camp Desperate, Russia Trains for WWIII",sadness,FAKE
Donald Trump's GOP civil war,anger,REAL
Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,fear,FAKE
Laura Bush hints she'd rather see Hillary as president,neutral,REAL
"Scott Walker, Rick Perry show limits of super PACs",neutral,REAL
If Catcalls Were Politically Correct…,anger,FAKE
Why Hillary Won't Unleash WWIII    : Information,fear,FAKE
Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,neutral,REAL
"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",neutral,REAL
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',anger,FAKE
"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",neutral,REAL
"MH370: If debris is part of missing plane, what's next?",fear,REAL
GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,surprise,FAKE
Israel stole classified US information and used it to help congressional Republicans,anger,REAL
"""America has a simple ideology"": how one of Russia's top US experts explains America",neutral,REAL
Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,surprise,REAL
"Chaos on House floor as Dems, Republicans clash over LGBT proposal",fear,REAL
"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",disgust,FAKE
"Clinton, Sanders accuse Trump of inciting violence",anger,REAL
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,neutral,FAKE
"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",neutral,REAL
Trump mulls alternative options for making Mexico finance 'the wall',neutral,REAL
The circus of liars - America's three rings of evil clowns,neutral,FAKE
"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",disgust,REAL
Trump Has Forever Changed American Politics,neutral,FAKE
Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,anger,REAL
"The role of the US and Nato in EU relations with China, by Manlio Dinucci",neutral,FAKE
The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,neutral,REAL
"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",surprise,REAL
Trump The President: What Does That Mean For The World? - CounterCurrents.org,neutral,FAKE
"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",disgust,REAL
"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",neutral,REAL
Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,anger,FAKE
FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,neutral,FAKE
Repudiating the Media,disgust,FAKE
Buchanan Smashes CNN Shill,fear,FAKE
The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,neutral,FAKE
America After Election 2016: the Gullible and the Shattered - David Kerans,neutral,FAKE
Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),neutral,FAKE
‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,surprise,FAKE
What do Americans really think of election coverage?,neutral,REAL
Exclusive: Siege of Islamabad,neutral,FAKE
The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,neutral,FAKE
Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,neutral,REAL
"Yes, Ted Cruz could win",neutral,REAL
"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",anger,FAKE
Trump advisors try to pivot not fishtail,neutral,REAL
"Christians drop, 'nones' soar in new religion portrait",neutral,REAL
Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,neutral,FAKE
Inside the Deliberations of a Hillary Clinton Campaign Launch,disgust,REAL
American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,sadness,FAKE
Clinton condemns Trump over Chicago violence,sadness,REAL
"In France, a growing debate over why some speech is protected and some isn’t",anger,REAL
President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,fear,FAKE
North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,neutral,FAKE
Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,anger,FAKE
Representative Government or Thugocracy?,neutral,FAKE
Gay rights and religious liberty: Can Americans have both?,neutral,REAL
"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",neutral,REAL
“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,neutral,REAL
Obama Presses Putin to Strike Ukraine Peace Deal,neutral,REAL
"Trumka: Disappointment with Obama, a warning for Hillary",sadness,REAL
Pro-Palestinian Propaganda Lowering Standards of Truth in America,disgust,FAKE
Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,neutral,REAL
Lifting weights could ward off dementia and make you smarter,neutral,FAKE
People excited about Christmas adverts told about rest of human culture,joy,FAKE
State Department warns of possible terror attack in South Africa,fear,REAL
Who Lost Iraq?,neutral,REAL
Pope Francis implores Congress to accept immigrants as their own,neutral,REAL
"Poll: Trump gains in Iowa, still dominates in New Hampshire",neutral,REAL
Rand Paul Goes on Senate Floor to Protest NSA Spying Measure,anger,REAL
China Airport Security Robot Gives Electroshocks,neutral,FAKE
Obama Details His Disappointment With Netanyahu In First Post-Election Comments,sadness,REAL
"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",surprise,FAKE
Reality Check: First Clinton v Trump presidential debate,neutral,REAL
Doomsday Election,fear,FAKE
John Kasich’s Advice for Women to Prevent Sexual Assault: Avoid Parties “Where There’s a Lot of Alcohol”,neutral,REAL
The system set Boehner up for failure,neutral,REAL
Gay marriage victory at Supreme Court triggering backlash,anger,REAL
Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,neutral,FAKE
McCarthy drops out of speaker race as House asks: Who wants this job? (+video),neutral,REAL
"Democrats, Republicans in tight races as Iowans prepare to caucus",neutral,REAL
Iran: Why the best outcome now is to keep negotiating without reaching a deal,neutral,REAL
NAZI Flying Saucers & A Permanent Base in Antarctica,joy,FAKE
BREAKING: Man Brags on Facebook of Voting 3 Times… Then Reveals How He Did It,surprise,FAKE
Furious parents slam ‘damaging’ BBC sex change show aimed at six-year-olds,anger,FAKE
Trump Family Say Trump Brand Has NOT Been Damaged,neutral,FAKE
Rand Paul is flatlining,neutral,REAL
Nurse Chris Christie Quarantined For Ebola Goes After Governor On Vaccines,neutral,REAL
Can Paul Ryan and Donald Trump coexist within the Republican Party?,neutral,REAL
"Cruz copying me on border wall, Trump says",neutral,REAL
John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),neutral,FAKE
The Rise of Mandatory Vaccinations Means the End of Medical Freedom,fear,FAKE
Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],neutral,FAKE
Jeb Bush loses TV ad edge to Marco Rubio,neutral,REAL
"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",neutral,FAKE
"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides",anger,REAL
The Supreme Court cannot hide on Obamacare,neutral,REAL
BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,neutral,FAKE
"Poll: Hillary Clinton, Bernie Sanders both top Trump",neutral,REAL
Donald Trump revokes Washington Post press access (+video),neutral,REAL
The Real Reason Obamacare is Coming Unglued,neutral,FAKE
How Jeb Bush can avoid being the Jon Huntsman of 2016,neutral,REAL
Revived Clinton Email Scandal Killed By A Slew Of New Facts In Record Time,sadness,FAKE
Iraq’s Skies Darken as Islamic State Torches Oil,fear,FAKE
New Yorkers fight to overturn ballot selfie ban,anger,FAKE
Poll finds Ben Carson knocks Donald Trump from top spot nationally,neutral,REAL
“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,surprise,REAL
George W. Bush’s Ethics Lawyer Files Complaint Against FBI Director James Comey,anger,FAKE
Netflix Ceo: TV’s Future includes Hallucination Pills,neutral,FAKE
Ernst to Trump: Stop with the name-calling,neutral,REAL
Comment on Elections 2012-16 by BeamMeUpScotty,neutral,FAKE
After Debate Duke Says USA becoming Banana Republic,neutral,FAKE
"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",anger,FAKE
White House: GOP Has Failed to Put ‘Points on the Board’,neutral,REAL
The Daily 202: The presidency is Hillary Clinton’s to lose. Here are 12 ways she could lose it.,neutral,REAL
"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",neutral,REAL
Podesta wiki leaks...We prefer Muslims over Christians....,neutral,FAKE
Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,anger,REAL
Clinton doubles down on disputed claim FBI found her email remarks 'truthful',neutral,REAL
How the Clintons’ Haiti development plans succeed — and disappoint,sadness,REAL
Of Course Facebook Is Biased. Its Real Problem Is That It Won’t Admit It.,sadness,REAL
Tax Calculator: The federal debt,neutral,REAL
Trump and advisers remain split on how far to move toward the middle,neutral,REAL
Clinton in the final stretch: winning over anti-Trump contingent may be best play,neutral,REAL
Australian taxpayers charged over $88 million for donation to corrupt Clinton Foundation,anger,FAKE
Vatican Ends Scrutiny Of U.S. Nuns,disgust,REAL
How Clinton’s email scandal took root,fear,REAL
Jews ‘blamed for Holocaust’ at House of Lords event,disgust,FAKE
The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries,sadness,REAL
"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True",disgust,REAL
Russia successfully tests its first-ever hypersonic weapon,neutral,FAKE
The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,anger,FAKE
AP FACT CHECK: The Republican debaters and the facts,neutral,REAL
Why the drop in income inequality?,surprise,REAL
Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,neutral,FAKE
Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,neutral,REAL
Manhunt for escaped killers expands to Vermont,fear,REAL
The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,neutral,FAKE
To the Youth a Day After the Election: Another World Is Possible,neutral,FAKE
Physical Gold Demand and Fear,fear,FAKE
Protester charged with shooting officers in Ferguson,anger,REAL
Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,neutral,FAKE
It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.,neutral,REAL
"GOP braces for Trump loss, roiled by refusal to accept election results",fear,REAL
If You Have One Of These Old VHS Tapes It May Be Worth Over $1000,neutral,FAKE
Obama: Trump is ‘unfit to serve as president’,sadness,REAL
Pope Francis met Kim Davis: why it matters in fight over religious freedom (+video),neutral,REAL
Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,disgust,FAKE
David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,neutral,FAKE
Paris Tragedy Could Shake Up 2016 Race,fear,REAL
Hillary Clinton Is Now Radioactive – SoT #122,neutral,FAKE
2016's first GOP debate: Six things to look for in Charleston,neutral,REAL
